All compounds together:
optimized t0: 0.75
optimized tD: 0.3
optimized time: [0.6, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
average/RMS error of calibration compounds after optimization: 0.007/0.057
average/RMS error of all compounds after optimization: 0.04/0.081
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.76
optimized tD: 0.32
optimized time: [0.6, 13.4, 15.5, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
For compounds without sulfate: 
optimized t0: 0.74
optimized tD: 0.29
optimized time: [0.6, 13.5, 15.6, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.014/0.053
average/RMS error of all compounds after optimization: 0.051/0.084
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.93	17.93	0	17.93	0	
alloLCA;BA-3S	14.81	14.85	0.04	14.82	0.01	
alloLCA;GBA	14.83	14.87	0.04	14.87	0.04	
alloLCA;GBA-3S	8.78	8.73	-0.05	8.74	-0.04	
alloLCA;TBA	14.92	14.94	0.02	14.94	0.02	
alloLCA;TBA-3S	8.58	8.54	-0.04	8.55	-0.03	
isoalloLCA;BA	17.02	16.91	-0.11	16.91	-0.11	
isoalloLCA;BA-3S	13.61	13.69	0.08	13.68	0.07	
isoalloLCA;GBA	11.67	11.65	-0.02	11.65	-0.02	
isoalloLCA;GBA-3S	7.38	7.33	-0.05	7.36	-0.02	
isoalloLCA;TBA	11.8	11.77	-0.03	11.77	-0.03	
isoalloLCA;TBA-3S	7.22	7.18	-0.04	7.2	-0.02	
isoLCA;BA	17.15	17.07	-0.08	17.07	-0.08	
isoLCA;BA-3S	13.69	13.78	0.09	13.77	0.08	
isoLCA;GBA	12.31	12.34	0.03	12.34	0.03	
isoLCA;TBA	12.45	12.48	0.03	12.48	0.03	
isoLCA;TBA-3S	7.44	7.42	-0.02	7.44	0	
LCA;BA	17.85	17.83	-0.02	17.83	-0.02	
LCA;BA-3S	15.09	15.1	0.01	15.09	0	
LCA;GBA	14.99	15.01	0.02	15.01	0.02	
LCA;GBA-3S	9.32	9.26	-0.06	9.28	-0.04	
LCA;TBA	15.08	15.08	0	15.08	0	
LCA;TBA-3S	9.14	9.08	-0.06	9.09	-0.05	
3o-alloLCA;BA	17.95	17.89	-0.06	17.89	-0.06	
3o-alloLCA;GBA	14.23	14.29	0.06	14.29	0.06	
3o-alloLCA;TBA	14.35	14.43	0.08	14.43	0.08	
3o-LCA;BA	18.12	18.13	0.01	18.13	0.01	
3o-LCA;GBA	15.04	15.07	0.03	15.07	0.03	
3o-LCA;TBA	15.12	15.15	0.03	15.15	0.03	
iso-d5-LCA;BA	16.67	16.59	-0.08	16.59	-0.08	
iso-d5-LCA;BA-3S	13	13.1	0.1	13.1	0.1	
iso-d5-LCA;GBA	10.83	10.84	0.01	10.84	0.01	
iso-d5-LCA;GBA-3S	6.85	6.82	-0.03	6.85	0	
iso-d5-LCA;TBA	11	11.01	0.01	11.01	0.01	
iso-d5-LCA;TBA-3S	6.73	6.7	-0.03	6.72	-0.01	
3o-d4-LCA;BA	17	16.9	-0.1	16.9	-0.1	
3o-d4-LCA;GBA	12.18	12.2	0.02	12.2	0.02	
3o-d4-LCA;TBA	12.38	12.42	0.04	12.42	0.04	
12-epiDCA;BA	14.55	14.74	0.19	14.74	0.19	
12-epiDCA;BA-12S	9.38	9.44	0.06	9.46	0.08	
12-epiDCA;BA-3S	10.52	10.59	0.07	10.6	0.08	
12-epiDCA;GBA	8.61	8.66	0.05	8.66	0.05	
12-epiDCA;GBA-12S	4.54	4.54	0	4.58	0.04	
12-epiDCA;GBA-3S	5.66	5.66	0	5.7	0.04	
12-epiDCA;TBA	8.93	8.98	0.05	8.98	0.05	
12-epiDCA;TBA-12S	4.62	4.62	0	4.65	0.03	
12-epiDCA;TBA-3S	5.41	5.42	0.01	5.45	0.04	
3b-DCA;BA	14.53	14.74	0.21	14.74	0.21	
3b-DCA;BA-12S	9.73	9.77	0.04	9.79	0.06	
3b-DCA;BA-3S	10.35	10.31	-0.04	10.32	-0.03	
3b-DCA;GBA	8.41	8.44	0.03	8.44	0.03	
3b-DCA;GBA-12S	5.16	5.13	-0.03	5.17	0.01	
3b-DCA;GBA-3S	5.56	5.51	-0.05	5.54	-0.02	
3b-DCA;TBA	8.65	8.68	0.03	8.68	0.03	
3b-DCA;TBA-12S	4.94	4.93	-0.01	4.97	0.03	
3b-DCA;TBA-3S	5.53	5.48	-0.05	5.51	-0.02	
alloCDCA;BA	15.9	15.91	0.01	15.91	0.01	
alloCDCA;BA-3S	11.83	11.86	0.03	11.86	0.03	
alloCDCA;BA-7S	12.74	12.77	0.03	12.77	0.03	
alloCDCA;GBA	10.8	10.83	0.03	10.83	0.03	
alloCDCA;GBA-3S	6.7	6.67	-0.03	6.7	0	
alloCDCA;GBA-7S	7.6	7.59	-0.01	7.61	0.01	
alloCDCA;TBA	11.04	11.07	0.03	11.07	0.03	
alloCDCA;TBA-3S	6.64	6.6	-0.04	6.62	-0.02	
alloCDCA;TBA-7S	7.44	7.4	-0.04	7.42	-0.02	
alloUDCA;BA	13.65	13.89	0.24	13.89	0.24	
alloUDCA;BA-3S	8.58	8.61	0.03	8.64	0.06	
alloUDCA;BA-7S	10.44	10.47	0.03	10.48	0.04	
alloUDCA;GBA	7.62	7.64	0.02	7.64	0.02	
alloUDCA;GBA-3S	3.87	3.89	0.02	3.93	0.06	
alloUDCA;GBA-7S	5.63	5.6	-0.03	5.63	0	
alloUDCA;TBA	7.9	7.93	0.03	7.93	0.03	
alloUDCA;TBA-3S	3.88	3.9	0.02	3.93	0.05	
alloUDCA;TBA-7S	5.57	5.55	-0.02	5.58	0.01	
CDCA;BA	15.97	15.97	0	15.97	0	
CDCA;BA-3S	12.01	12.03	0.02	12.04	0.03	
CDCA;BA-7S	12.22	12.24	0.02	12.24	0.02	
CDCA;GBA	11.05	11.05	0	11.05	0	
CDCA;GBA-3S	6.86	6.8	-0.06	6.83	-0.03	
CDCA;GBA-7S	7.26	7.2	-0.06	7.23	-0.03	
CDCA;TBA	11.29	11.29	0	11.29	0	
CDCA;TBA-3S	6.78	6.73	-0.05	6.75	-0.03	
CDCA;TBA-7S	7.13	7.07	-0.06	7.09	-0.04	
DCA;BA	16.1	16.09	-0.01	16.09	-0.01	
DCA;BA-3S	12.22	12.27	0.05	12.27	0.05	
DCA;BA-12S	12.61	12.69	0.08	12.69	0.08	
DCA;GBA	11.72	11.74	0.02	11.74	0.02	
DCA;GBA-3S	7.22	7.17	-0.05	7.2	-0.02	
DCA;GBA-12S	7.95	7.93	-0.02	7.95	0	
DCA;TBA	11.94	11.97	0.03	11.97	0.03	
DCA;TBA-3S	7.14	7.09	-0.05	7.11	-0.03	
DCA;TBA-12S	7.73	7.71	-0.02	7.74	0.01	
HDCA;BA	13.68	13.84	0.16	13.84	0.16	
HDCA;BA-6S	8.73	8.78	0.05	8.8	0.07	
HDCA;BA-3S	10.27	10.31	0.04	10.32	0.05	
HDCA;GBA	7.82	7.82	0	7.82	0	
HDCA;GBA-6S	3.78	3.8	0.02	3.84	0.06	
HDCA;GBA-3S	5.18	5.13	-0.05	5.17	-0.01	
HDCA;TBA	8.1	8.09	-0.01	8.09	-0.01	
HDCA;TBA-6S	3.8	3.81	0.01	3.85	0.05	
HDCA;TBA-3S	5.14	5.08	-0.06	5.12	-0.02	
isoCDCA;BA	14.45	14.65	0.2	14.65	0.2	
isoCDCA;BA-7S	10.03	10.05	0.02	10.07	0.04	
isoCDCA;BA-3S	10.25	10.29	0.04	10.31	0.06	
isoCDCA;GBA	7.95	7.96	0.01	7.96	0.01	
isoCDCA;GBA-7S	4.96	4.94	-0.02	4.97	0.01	
isoCDCA;GBA-3S	5.22	5.2	-0.02	5.23	0.01	
isoCDCA;TBA	8.2	8.21	0.01	8.21	0.01	
isoCDCA;TBA-7S	4.81	4.78	-0.03	4.81	0	
isoCDCA;TBA-3S	5.17	5.14	-0.03	5.18	0.01	
isoDCA;BA	17.1	17.05	-0.05	17.05	-0.05	
isoDCA;GBA	14.36	14.47	0.11	14.47	0.11	
isoDCA;TBA	14.62	14.73	0.11	14.73	0.11	
isoHDCA;BA	12.77	12.93	0.16	12.93	0.16	
isoHDCA;BA-6S	9.43	9.49	0.06	9.51	0.08	
isoHDCA;BA-3S	9.5	9.55	0.05	9.57	0.07	
isoHDCA;GBA	6.35	6.34	-0.01	6.34	-0.01	
isoHDCA;GBA-6S	3.73	3.77	0.04	3.81	0.08	
isoHDCA;GBA-3S	4.38	4.37	-0.01	4.4	0.02	
isoHDCA;TBA	6.64	6.62	-0.02	6.62	-0.02	
isoHDCA;TBA-6S	3.74	3.76	0.02	3.8	0.06	
isoHDCA;TBA-3S	4.39	4.36	-0.03	4.39	0	
isoUDCA;BA	12.12	12.34	0.22	12.34	0.22	
isoUDCA;BA-3S	7.82	7.87	0.05	7.89	0.07	
isoUDCA;BA-7S	9.07	9.11	0.04	9.13	0.06	
isoUDCA;GBA	5.76	5.8	0.04	5.8	0.04	
isoUDCA;GBA-3S	3.04	3.08	0.04	3.12	0.08	
isoUDCA;GBA-7S	3.99	4.01	0.02	4.05	0.06	
isoUDCA;TBA	6.09	6.12	0.03	6.12	0.03	
isoUDCA;TBA-3S	3.08	3.12	0.04	3.15	0.07	
isoUDCA;TBA-7S	3.91	3.93	0.02	3.97	0.06	
MDCA;BA	11.96	12.17	0.21	12.17	0.21	
MDCA;BA-6S	7.8	7.84	0.04	7.87	0.07	
MDCA;BA-3S	8.29	8.34	0.05	8.37	0.08	
MDCA;GBA	5.99	6.03	0.04	6.03	0.04	
MDCA;GBA-6S	2.92	2.98	0.06	3.02	0.1	
MDCA;GBA-3S	3.29	3.23	-0.06	3.26	-0.03	
MDCA;TBA	6.29	6.32	0.03	6.32	0.03	
MDCA;TBA-6S	2.95	3	0.05	3.04	0.09	
MDCA;TBA-3S	3.29	3.27	-0.02	3.3	0.01	
UDCA;BA	13.26	13.45	0.19	13.45	0.19	
UDCA;BA-3S	8.71	8.76	0.05	8.78	0.07	
UDCA;BA-7S	10.15	10.17	0.02	10.19	0.04	
UDCA;GBA	7.61	7.63	0.02	7.63	0.02	
UDCA;GBA-3S	4.04	4.06	0.02	4.1	0.06	
UDCA;GBA-7S	5.53	5.53	0	5.57	0.04	
UDCA;TBA	7.89	7.92	0.03	7.92	0.03	
UDCA;TBA-3S	4.05	4.07	0.02	4.11	0.06	
UDCA;TBA-7S	5.49	5.48	-0.01	5.52	0.03	
12o-DCA;BA	15.05	15.16	0.11	15.16	0.11	
12o-DCA;BA-3S	9.85	9.91	0.06	9.93	0.08	
12o-DCA;GBA	9.26	9.31	0.05	9.31	0.05	
12o-DCA;GBA-3S	5.04	5.05	0.01	5.08	0.04	
12o-DCA;TBA	9.51	9.54	0.03	9.54	0.03	
12o-DCA;TBA-3S	4.99	5.01	0.02	5.04	0.05	
3o-CDCA;BA	16.06	16.08	0.02	16.08	0.02	
3o-CDCA;BA-7S	11.77	11.84	0.07	11.84	0.07	
3o-CDCA;GBA	10.72	10.78	0.06	10.78	0.06	
3o-CDCA;GBA-7S	6.64	6.63	-0.01	6.66	0.02	
3o-CDCA;TBA	11	11.06	0.06	11.06	0.06	
3o-CDCA;TBA-7S	6.53	6.52	-0.01	6.55	0.02	
3o-DCA;BA	16.04	16.02	-0.02	16.02	-0.02	
3o-DCA;BA-12S	11.86	11.95	0.09	11.95	0.09	
3o-DCA;GBA	11.1	11.17	0.07	11.17	0.07	
3o-DCA;GBA-12S	7.14	7.16	0.02	7.19	0.05	
3o-DCA;TBA	11.35	11.42	0.07	11.42	0.07	
3o-DCA;TBA-12S	6.92	6.96	0.04	6.99	0.07	
3o-HDCA;BA	14.35	14.57	0.22	14.57	0.22	
3o-HDCA;BA-6S	9.51	9.59	0.08	9.61	0.1	
3o-HDCA;GBA	7.88	7.93	0.05	7.93	0.05	
3o-HDCA;GBA-6S	4.06	4.11	0.05	4.15	0.09	
3o-HDCA;TBA	8.18	8.22	0.04	8.22	0.04	
3o-HDCA;TBA-6S	4.09	4.13	0.04	4.16	0.07	
6o-alloMDCA;BA	14.67	14.85	0.18	14.85	0.18	
6o-alloMDCA;BA-3S	9.82	9.89	0.07	9.91	0.09	
6o-alloMDCA;GBA	8.2	8.24	0.04	8.24	0.04	
6o-alloMDCA;GBA-3S	4.76	4.78	0.02	4.81	0.05	
6o-alloMDCA;TBA	8.47	8.5	0.03	8.5	0.03	
6o-alloMDCA;TBA-3S	4.74	4.77	0.03	4.8	0.06	
6o-HDCA;BA	13.98	14.27	0.29	14.27	0.29	
6o-HDCA;BA-3S	9.85	9.9	0.05	9.92	0.07	
6o-HDCA;GBA	7.92	7.95	0.03	7.95	0.03	
6o-HDCA;GBA-3S	4.8	4.8	0	4.84	0.04	
6o-HDCA;TBA	8.2	8.23	0.03	8.23	0.03	
6o-HDCA;TBA-3S	4.79	4.78	-0.01	4.81	0.02	
7o-CDCA;BA	14.87	15	0.13	15	0.13	
7o-CDCA;BA-3S	10.23	10.3	0.07	10.32	0.09	
7o-CDCA;GBA	8.76	8.8	0.04	8.8	0.04	
7o-CDCA;GBA-3S	5.15	5.16	0.01	5.19	0.04	
7o-CDCA;TBA	8.97	9	0.03	9	0.03	
7o-CDCA;TBA-3S	5.05	5.07	0.02	5.1	0.05	
apoCA;BA	15.19	15.27	0.08	15.27	0.08	
apoCA;GBA	9.82	9.82	0	9.82	0	
apoCA;TBA	10.03	10.03	0	10.03	0	
12o-d9-DCA;BA	14.05	14.31	0.26	14.31	0.26	
12o-d9-DCA;BA-3S	9.18	9.25	0.07	9.27	0.09	
12o-d9-DCA;GBA	8.27	8.31	0.04	8.31	0.04	
12o-d9-DCA;GBA-3S	4.44	4.46	0.02	4.49	0.05	
12o-d9-DCA;TBA	8.49	8.53	0.04	8.53	0.04	
12o-d9-DCA;TBA-3S	4.38	4.41	0.03	4.45	0.07	
3,12-2o-DCA;BA	15.05	15.19	0.14	15.19	0.14	
3,12-2o-DCA;GBA	8.86	8.96	0.1	8.96	0.1	
3,12-2o-DCA;TBA	9.13	9.21	0.08	9.21	0.08	
3,6-2o-HDCA;BA	15.19	15.32	0.13	15.32	0.13	
3,6-2o-HDCA;GBA	8.61	8.72	0.11	8.72	0.11	
3,6-2o-HDCA;TBA	8.92	9.02	0.1	9.02	0.1	
3,7-2o-CDCA;BA	15.23	15.36	0.13	15.36	0.13	
3,7-2o-CDCA;GBA	8.71	8.82	0.11	8.82	0.11	
3,7-2o-CDCA;TBA	8.96	9.07	0.11	9.07	0.11	
3o-d4-CDCA;BA	13.86	14.08	0.22	14.08	0.22	
iso-d5-7o-CDCA;BA	12.71	12.91	0.2	12.91	0.2	
iso-d5-7o-CDCA;BA-3S	9.3	9.35	0.05	9.37	0.07	
iso-d5-7o-CDCA;GBA	6.23	6.26	0.03	6.26	0.03	
iso-d5-7o-CDCA;TBA	6.49	6.51	0.02	6.51	0.02	
12-epiCA;BA	7.82	7.94	0.12	7.94	0.12	
12-epiCA;GBA	3.88	3.96	0.08	3.96	0.08	
12-epiCA;TBA	4.11	4.18	0.07	4.18	0.07	
alloCA;BA	9.15	9.21	0.06	9.21	0.06	
alloCA;GBA	8.66	8.69	0.03	8.69	0.03	
alloCA;TBA	8.8	8.83	0.03	8.83	0.03	
a-MCA;BA	10.49	10.64	0.15	10.64	0.15	
a-MCA;GBA	5.18	5.2	0.02	5.2	0.02	
a-MCA;TBA	5.37	5.38	0.01	5.38	0.01	
b-MCA;BA	10.04	10.14	0.1	10.14	0.1	
b-MCA;GBA	5.1	5.09	-0.01	5.09	-0.01	
b-MCA;TBA	5.48	5.49	0.01	5.49	0.01	
CA;BA	12.86	13.02	0.16	13.02	0.16	
CA;BA-7S	8.6	8.61	0.01	8.64	0.04	
CA;BA-3S	9.02	9.04	0.02	9.06	0.04	
CA;GBA	8.24	8.23	-0.01	8.23	-0.01	
CA;GBA-3S	4.84	4.79	-0.05	4.82	-0.02	
CA;TBA	8.47	8.46	-0.01	8.46	-0.01	
CA;TBA-3S	4.83	4.76	-0.07	4.8	-0.03	
DCA-1b-ol;BA	9.63	9.73	0.1	9.73	0.1	
DCA-1b-ol;GBA	5.06	5.09	0.03	5.09	0.03	
DCA-1b-ol;TBA	5.29	5.29	0	5.29	0	
HCA;BA	11.83	11.94	0.11	11.94	0.11	
HCA;GBA	6.68	6.68	0	6.68	0	
HCA;TBA	6.94	6.93	-0.01	6.93	-0.01	
isoCA;BA	9.48	9.62	0.14	9.62	0.14	
isoCA;GBA	5.11	5.12	0.01	5.12	0.01	
isoCA;TBA	5.33	5.37	0.04	5.37	0.04	
UCA;BA	7.95	8.07	0.12	8.07	0.12	
UCA;GBA	4.36	4.41	0.05	4.41	0.05	
UCA;TBA	4.58	4.62	0.04	4.62	0.04	
w-MCA;BA	9.59	9.7	0.11	9.7	0.11	
w-MCA;GBA	4.79	4.8	0.01	4.8	0.01	
w-MCA;TBA	5.08	5.09	0.01	5.09	0.01	
12o-CA;BA	10.37	10.51	0.14	10.51	0.14	
12o-CA;GBA	5.97	5.99	0.02	5.99	0.02	
12o-CA;TBA	6.21	6.22	0.01	6.22	0.01	
3o-CA;BA	12.1	12.33	0.23	12.33	0.23	
3o-CA;GBA	7.39	7.46	0.07	7.46	0.07	
3o-CA;TBA	7.64	7.7	0.06	7.7	0.06	
7o-CA;BA	10.22	10.34	0.12	10.34	0.12	
7o-CA;GBA	5.92	5.94	0.02	5.94	0.02	
7o-CA;TBA	6.12	6.14	0.02	6.14	0.02	
7o-HCA;BA	11.14	11.33	0.19	11.33	0.19	
7o-HCA;GBA	5.77	5.8	0.03	5.8	0.03	
7o-HCA;TBA	6.02	6.04	0.02	6.04	0.02	
7,12-2o-CA;BA	8.01	8.2	0.19	8.2	0.19	
7,12-2o-CA;BA-3S	5.13	5.26	0.13	5.3	0.17	
7,12-2o-CA;GBA	3.83	3.93	0.1	3.93	0.1	
7,12-2o-CA;GBA-3S	1.56	1.74	0.18	1.77	0.21	
7,12-2o-CA;TBA	4.05	4.14	0.09	4.14	0.09	
7,12-2o-CA;TBA-3S	1.55	1.74	0.19	1.77	0.22	
3,7,12-3o-CA;BA	8.07	8.35	0.28	8.35	0.28	
3,7,12-3o-CA;GBA	3.58	3.79	0.21	3.79	0.21	
3,7,12-3o-CA;TBA	3.82	3.99	0.17	3.99	0.17	
CA-6a-ol;BA	7.58	7.63	0.05	7.63	0.05	
CA-6a-ol;GBA	3.99	4	0.01	4	0.01	
CA-6a-ol;TBA	4.21	4.22	0.01	4.22	0.01	
